;0;1;2;3;4
0;-110.36620962680809;0.0;-30.065636657215094;74.75762877484321;63.02236018361209
1;-94.3765980115254;-10.893331927699734;-29.874393532205538;74.07127063091363;58.77450031102103
2;-82.24089680192947;-21.583741692561944;-30.857476725325263;73.13755186201755;59.38550824559485
3;-81.9216443744449;-31.87208718769932;-28.13166764988047;75.50446235487387;63.935543164932824
4;-67.75111033813573;-41.56671600283468;-30.158346134089683;75.0919241571408;62.0706488755532
5;-56.325816383693564;-50.48703554608423;-29.748039842952565;73.72829360518469;60.601419294482
6;-49.92977494975412;-58.46687714224993;-28.59656169845401;71.71424310945139;62.97242570219997
7;-46.04101468356339;-65.35759144083536;-28.997114996610605;76.7384540694132;61.171987024062986
8;-34.66564096701768;-71.03081747219002;-31.896862865959953;71.8620269271382;63.347283773076526
9;-31.802152314974137;-75.38087376950563;-30.483820992678936;74.7771121292781;60.42176510608218
10;-31.04697250832669;-78.32672701458583;-31.26193165073471;75.53622601083434;62.50628502358059
11;-34.069045234966325;-79.81350153524313;-30.1522685325874;77.63070962412016;63.65434804508442
12;-30.87089838129441;-79.81350153524313;-30.128649621070252;75.10961002213298;63.067155988434095
13;-31.46893190230321;-78.32672701458583;-30.978979674384227;76.73415943234946;61.43578794385613
14;-35.31858891617276;-75.38087376950564;-29.12423319500425;75.2905555519087;61.97078822621668
15;-36.74347066239807;-71.03081747219002;-29.15065514463923;72.31108159501726;62.20639439851922
16;-41.13884246535736;-65.35759144083536;-29.587745852122104;72.91334199738091;60.85596035574147
17;-48.42055520453505;-58.46687714224994;-29.751687904731796;72.78925954213487;61.57588973125971
18;-57.11953545944834;-50.48703554608423;-29.966542653122502;74.1805675092358;61.12866957903768
19;-66.96143412178117;-41.56671600283471;-30.407256199590996;75.24193096110545;61.40572430619508
20;-78.07983237392227;-31.87208718769935;-31.403073991444487;77.16153302676193;61.81803673860095
21;-87.01395755227031;-21.583741692561944;-30.087651993611082;76.4697170545274;59.85882997253495
22;-97.72950342747981;-10.893331927699734;-30.872140967409663;74.4074445920427;62.64354073435101
23;-109.14351958147745;-1.4210854715202004e-14;-29.236436426318917;73.63632139425206;62.15721255881175
